Player,Team,Service,Season,Extension,Non-Tendered,Outrighted,Next Year Salary,first_name,last_name,Source
Jeremy Guthrie,Rockies,5.13,2011,False,False,False,8199999.999999999,Jeremy,Guthrie,MLBTR
Jerome Williams,Angels,3.049,2011,False,False,False,820000.0,Jerome,Williams,MLBTR
Jesse Litsch,Blue Jays,4.098,2011,False,False,False,975000.0,Jesse,Litsch,MLBTR
Jesus Flores,Nationals,4.079,2011,False,False,False,815000.0,Jesus,Flores,MLBTR
Jim Johnson,Orioles,3.165,2011,False,False,False,2625000.0,Jim,Johnson,MLBTR
Joba Chamberlain,Yankees,4.055,2011,False,False,False,1675000.0,Joba,Chamberlain,MLBTR
Joe Smith,Indians,4.091,2011,False,False,False,1750000.0,Joe,Smith,MLBTR
Joe Thatcher,Padres,3.068,2011,False,False,False,700000.0,Joe,Thatcher,MLBTR
Joel Peralta,Rays,5.132,2011,False,False,False,2175000.0,Joel,Peralta,MLBTR
Joel Hanrahan,Pirates,4.065,2011,False,False,False,4100000.0,Joel,Hanrahan,MLBTR
Joey Devine,Athletics,4.069,2011,False,False,False,738000.0,Joey,Devine,MLBTR
John Baker,Padres,3.083,2011,False,False,False,750000.0,John,Baker,MLBTR
John Lannan ,Nationals,4.011,2011,False,False,False,5000000.0,John,Lannan ,MLBTR
John Danks,White Sox,5.0,2011,True,False,False,,John,Danks,MLBTR
Jonathan Sanchez,Royals,5.071,2011,False,False,False,5600000.0,Jonathan,Sanchez,MLBTR
Jordan Zimmermann,Nationals,2.154,2011,False,False,False,2300000.0,Jordan,Zimmermann,MLBTR
Jose Veras ,Brewers,4.128,2011,False,False,False,2000000.0,Jose,Veras ,MLBTR
Jose Arredondo,Reds,2.168,2011,True,False,False,,Jose,Arredondo,MLBTR
Juan Carlos Oviedo,Marlins,5.108,2011,False,False,False,6000000.0,Juan,Carlos Oviedo,MLBTR
Justin Masterson,Indians,3.108,2011,False,False,False,3825000.0,Justin,Masterson,MLBTR
Kameron Loe,Brewers,4.133,2011,False,False,False,2175000.0,Kameron,Loe,MLBTR
Kelly Johnson,Blue Jays,6.127,2011,False,False,False,6375000.0,Kelly,Johnson,MLBTR
Kendrys Morales,Angels,4.057,2011,False,False,False,2975000.0,Kendrys,Morales,MLBTR
Kevin Slowey,Indians,4.053,2011,False,False,False,2750000.0,Kevin,Slowey,MLBTR
Kyle McClellan,Cardinals,4.0,2011,False,False,False,2500000.0,Kyle,McClellan,MLBTR
Kyle Kendrick,Phillies,3.159,2011,False,False,False,3585000.0,Kyle,Kendrick,MLBTR
Landon Powell,Athletics,2.153,2011,False,False,False,620000.0,Landon,Powell,MLBTR
Luke Gregerson,Padres,3.0,2011,False,False,False,1550000.0,Luke,Gregerson,MLBTR
Luke Hochevar,Royals,3.151,2011,False,False,False,3510000.0,Luke,Hochevar,MLBTR
Manny Parra,Brewers,4.063,2011,False,False,False,1200000.0,Manny,Parra,MLBTR
Manny Acosta,Mets,3.066,2011,False,False,False,875000.0,Manny,Acosta,MLBTR
Mark Lowe,Rangers,5.087,2011,False,False,False,1700000.0,Mark,Lowe,MLBTR
