Player,Season,MLS,Year Salary,Next Year Salary,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,playerid,first_name,last_name,Position
"Villar, Jonathan",2019,4.113,2550000.0,4825000.0,,,,,,,,,,,,,,,,,,,,,,,Jonathan,Villar,2b
"Garcia, Avisail",2019,5.167,6700000.0,3500000.0,,,,,,,,,,,,,,,,,,,,,,,Avisail,Garcia,rf
"Romine, Austin",2019,5.045,1100000.0,1800000.0,,,,,,,,,,,,,,,,,,,,,,,Austin,Romine,c
"DeShields Jr., Delino",2019,3.116,561500.0,1400000.0,,,,,,,,,,,,,,,,,,,,,,,Delino,DeShields Jr.,cf-lf
"Sanchez, Yolmer",2019,3.134,2350000.0,4625000.0,,,,,,,,,,,,,,,,,,,,,,,Yolmer,Sanchez,2b
"Plawecki, Kevin",2019,2.167,557471.0,1137500.0,,,,,,,,,,,,,,,,,,,,,,,Kevin,Plawecki,c
"Seager, Corey",2019,3.032,605000.0,4000000.0,,,,,,,,,,,,,,,,,,,,,,,Corey,Seager,ss
"Jankowski, Travis",2019,2.169,,1165000.0,,,,,,,,,,,,,,,,,,,,,,,Travis,Jankowski,cf
"Santana, Domingo",2019,3.024,572400.0,1950000.0,,,,,,,,,,,,,,,,,,,,,,,Domingo,Santana,rf
"Lamb, Jake",2019,4.053,4275000.0,4825000.0,,,,,,,,,,,,,,,,,,,,,,,Jake,Lamb,3b
"Garcia, Leury",2019,4.025,1175000.0,1550000.0,,,,,,,,,,,,,,,,,,,,,,,Leury,Garcia,cf-2b
"Perez, Hernan",2019,4.079,1975000.0,2500000.0,,,,,,,,,,,,,,,,,,,,,,,Hernan,Perez,3b
"Saladino, Tyler",2019,3.053,565000.0,887500.0,,,,,,,,,,,,,,,,,,,,,,,Tyler,Saladino,2b
"Panik, Joe",2019,4.1,3450000.0,3850000.0,,,,,,,,,,,,,,,,,,,,,,,Joe,Panik,2b
"Casali, Curt",2019,2.151,513600.0,950000.0,,,,,,,,,,,,,,,,,,,,,,,Curt,Casali,c
"Holt, Brock",2019,5.052,2225000.0,3575000.0,,,,,,,,,,,,,,,,,,,,,,,Brock,Holt,3b-rf
"d'Arnaud, Travis",2019,5.044,3475000.0,3515000.0,,,,,,,,,,,,,,,,,,,,,,,Travis,d'Arnaud,c
"La Stella, Tommy",2019,4.057,950000.0,1350000.0,,,,,,,,,,,,,,,,,,,,,,,Tommy,La Stella,2b-3b
"Leon, Sandy",2019,4.149,1950000.0,2475000.0,,,,,,,,,,,,,,,,,,,,,,,Sandy,Leon,c
"Garcia, Greg",2019,3.083,569600.0,910000.0,,,,,,,,,,,,,,,,,,,,,,,Greg,Garcia,ss
"Torreyes, Ronnie",2019,2.139,615500.0,800000.0,,,,,,,,,,,,,,,,,,,,,,,Ronnie,Torreyes,2b
"Marisnick, Jake",2019,4.132,1900000.0,2212500.0,,,,,,,,,,,,,,,,,,,,,,,Jake,Marisnick,cf
"Sano, Miguel",2019,3.066,602500.0,2650000.0,,,,,,,,,,,,,,,,,,,,,,,Miguel,Sano,rf
"Adrianza, Ehire",2019,4.131,1000000.0,1300000.0,,,,,,,,,,,,,,,,,,,,,,,Ehire,Adrianza,2b-ss
"Phegley, Josh",2019,4.087,905000.0,1075000.0,,,,,,,,,,,,,,,,,,,,,,,Josh,Phegley,c
"Travis, Devon",2019,3.163,1450000.0,1950000.0,,,,,,,,,,,,,,,,,,,,,,,Devon,Travis,2b
"Swihart, Blake",2019,2.164,563500.0,910000.0,,,,,,,,,,,,,,,,,,,,,,,Blake,Swihart,c
"Cuthbert, Cheslor",2019,3.03,573500.0,850000.0,,,,,,,,,,,,,,,,,,,,,,,Cheslor,Cuthbert,3b
"Mazara, Nomar",2019,3.0,563560.0,3300000.0,,,,,,,,,,,,,,,,,,,,,,,Nomar,Mazara,rf
"Souza, Steven",2019,4.072,3550000.0,4125000.0,,,,,,,,,,,,,,,,,,,,,,,Steven,Souza,rf
"Buxton, Byron",2019,2.16,580000.0,1750000.0,,,,,,,,,,,,,,,,,,,,,,,Byron,Buxton,cf
"Drury, Brandon",2019,2.165,621900.0,1300000.0,,,,,,,,,,,,,,,,,,,,,,,Brandon,Drury,3b
"Bird, Greg",2019,3.053,582000.0,1200000.0,,,,,,,,,,,,,,,,,,,,,,,Greg,Bird,1b
"Owings, Chris",2019,5.012,3400000.0,3000000.0,,,,,,,,,,,,,,,,,,,,,,,Chris,Owings,ss
"Altherr, Aaron",2019,3.028,561000.0,1350000.0,,,,,,,,,,,,,,,,,,,,,,,Aaron,Altherr,of
"Semien, Marcus",2020,5.118,5900000.0,13000000.0,,,,,,,,,,,,,,,,,,,,,,,Marcus,Semien,ss
"Bellinger, Cody",2020,2.16,605000.0,11500000.0,,,,,,,,,,,,,,,,,,,,,,,Cody,Bellinger,1b-of
"Betts, Mookie",2020,5.07,20000000.0,27000000.0,,,,,,,,,,,,,,,,,,,,,,,Mookie,Betts,rf
"Springer, George",2020,5.166,12000000.0,21000000.0,,,,,,,,,,,,,,,,,,,,,,,George,Springer,cf
"Soler, Jorge",2020,4.143,4666667.0,7300000.0,,,,,,,,,,,,,,,,,,,,,,,Jorge,Soler,rf-dh
"Baez, Javy",2020,4.089,5200000.0,10000000.0,,,,,,,,,,,,,,,,,,,,,,,Javy,Baez,2b
"Turner, Trea",2020,3.135,3725000.0,7450000.0,,,,,,,,,,,,,,,,,,,,,,,Trea,Turner,ss
"Lindor, Francisco",2020,4.113,10550000.0,17500000.0,,,,,,,,,,,,,,,,,,,,,,,Francisco,Lindor,ss
"Canha, Mark",2020,4.092,2050000.0,4800000.0,,,,,,,,,,,,,,,,,,,,,,,Mark,Canha,1b-lf
"Realmuto, J.T.",2020,5.038,5900000.0,10000000.0,,,,,,,,,,,,,,,,,,,,,,,J.T.,Realmuto,c
"Urshela, Giovanny",2020,2.127,575000.0,2475000.0,,,,,,,,,,,,,,,,,,,,,,,Giovanny,Urshela,3b
"Conforto, Michael",2020,4.043,4025000.0,8000000.0,,,,,,,,,,,,,,,,,,,,,,,Michael,Conforto,rf
"Mancini, Trey",2020,3.015,575500.0,4750000.0,,,,,,,,,,,,,,,,,,,,,,,Trey,Mancini,1b-of
"Seager, Corey",2020,4.032,4000000.0,7600000.0,,,,,,,,,,,,,,,,,,,,,,,Corey,Seager,ss
"Villar, Jonathan",2020,5.113,4825000.0,8200000.0,,,,,,,,,,,,,,,,,,,,,,,Jonathan,Villar,2b
"Bryant, Kris",2020,4.171,12900000.0,18600000.0,,,,,,,,,,,,,,,,,,,,,,,Kris,Bryant,3b
"Sanchez, Gary",2020,3.086,669800.0,5000000.0,,,,,,,,,,,,,,,,,,,,,,,Gary,Sanchez,c
"Pham, Tommy",2020,4.107,4100000.0,7900000.0,,,,,,,,,,,,,,,,,,,,,,,Tommy,Pham,lf
"Pederson, Joc",2020,5.028,5000000.0,7750000.0,,,,,,,,,,,,,,,,,,,,,,,Joc,Pederson,cf
"Schwarber, Kyle",2020,4.086,3390000.0,7010000.0,,,,,,,,,,,,,,,,,,,,,,,Kyle,Schwarber,lf
"Swanson, Dansby",2020,3.047,585000.0,3150000.0,,,,,,,,,,,,,,,,,,,,,,,Dansby,Swanson,ss
"Judge, Aaron",2020,3.051,684300.0,8500000.0,,,,,,,,,,,,,,,,,,,,,,,Aaron,Judge,rf-dh
"Contreras, Willson",2020,3.108,684000.0,4500000.0,,,,,,,,,,,,,,,,,,,,,,,Willson,Contreras,c
"Correa, Carlos",2020,4.119,5000000.0,8000000.0,,,,,,,,,,,,,,,,,,,,,,,Carlos,Correa,ss
"Rosario, Eddie",2020,4.12,4190000.0,7750000.0,,,,,,,,,,,,,,,,,,,,,,,Eddie,Rosario,lf
"Santana, Danny",2020,4.14,,3600000.0,,,,,,,,,,,,,,,,,,,,,,,Danny,Santana,cf-rf
"Gallo, Joey",2020,3.103,605500.0,4400000.0,,,,,,,,,,,,,,,,,,,,,,,Joey,Gallo,3b
"Bell, Josh",2020,3.053,587000.0,4800000.0,,,,,,,,,,,,,,,,,,,,,,,Josh,Bell,1b-rf
"Alberto, Hanser",2020,3.085,578000.0,1650000.0,,,,,,,,,,,,,,,,,,,,,,,Hanser,Alberto,ss
"McCann, James",2020,5.028,2500000.0,5400000.0,,,,,,,,,,,,,,,,,,,,,,,James,McCann,c
"Dahl, David",2020,2.162,560000.0,2425000.0,,,,,,,,,,,,,,,,,,,,,,,David,Dahl,lf
"La Stella, Tommy",2020,5.057,1350000.0,3250000.0,,,,,,,,,,,,,,,,,,,,,,,Tommy,La Stella,2b-3b
"Buxton, Byron",2020,3.16,1750000.0,3075000.0,,,,,,,,,,,,,,,,,,,,,,,Byron,Buxton,cf
"Hernandez, Enrique",2020,5.054,3725000.0,5900000.0,,,,,,,,,,,,,,,,,,,,,,,Enrique,Hernandez,2b-ss
"Goodwin, Brian",2020,3.019,583500.0,2200000.0,,,,,,,,,,,,,,,,,,,,,,,Brian,Goodwin,of
"Casali, Curt",2020,3.151,950000.0,1462500.0,,,,,,,,,,,,,,,,,,,,,,,Curt,Casali,c
"Bradley Jr., Jackie",2020,5.15,8550000.0,11000000.0,,,,,,,,,,,,,,,,,,,,,,,Jackie,Bradley Jr.,cf
