Player,Position,Salary,Year
"Gipson, Charles",of,"$215,000 ",2000.0
"Mirabelli, Doug",c,"$215,000 ",2000.0
"Payton, Jay",of,"$215,000 ",2000.0
"Santiago, Jose",rhp,"$215,000 ",2000.0
"Delgado, Wilson",2b-ss,"$213,000 ",2000.0
"Christensen, McKay",of,"$212,500 ",2000.0
"Hernandez, Ramon",c,"$211,000 ",2000.0
"Blum, Geoff",3b-1b,"$210,000 ",2000.0
"DeLosSantos, Valerio",lhp,"$210,000 ",2000.0
"Estalella, Bobby",c,"$210,000 ",2000.0
"Molina, Benjie",c,"$210,000 ",2000.0
"Mora, Melvin",3b,"$210,000 ",2000.0
"Schoeneweis, Scott",lhp,"$210,000 ",2000.0
"Wells, Kip",rhp,"$210,000 ",2000.0
"Gonzalez, Wiki",c,"$208,000 ",2000.0
"Chen, Bruce",lhp-s,"$207,500 ",2000.0
"Ortiz, Ramon",rhp,"$207,500 ",2000.0
"Pote, Lou",rp,"$207,500 ",2000.0
"Sturtze, Tanyon",rhp,"$206,000 ",2000.0
"Guillen, Carlos",lf,"$205,000 ",2000.0
